k,ens_mean,ens_median,lf_mean,lf_median,ef_mean,ef_median
1,0.65021871336483,0.7247474747474747,0.6224240493704398,0.6818181818181819,0.6564347016415188,0.7333333333333334
50,0.7551234558597074,0.8367864693446089,0.7880165861336287,0.8429276315789475,0.8034849705495337,0.8627450980392156
100,0.7859891477968021,0.8588039867109635,0.7940452663691677,0.8456121343445286,0.8195399944630435,0.8717948717948718
200,0.8300905177825597,0.888888888888889,0.7956242020907637,0.8466880341880341,0.8327470485706931,0.888888888888889
500,0.8501364845859266,0.9025932953826692,0.7969902367573354,0.8473193473193472,0.8460867553612077,0.9
