k,ens_mean,ens_median,lf_mean,lf_median,ef_mean,ef_median
1,0.6562043248340207,0.725916377552332,0.6283615759305521,0.6911205321022239,0.6630253268832497,0.7384728445042337
50,0.761151041325453,0.8424181476631563,0.795723316116666,0.8471370928680643,0.810216994763539,0.8652067686766283
100,0.7919380412726101,0.8652613759305616,0.8016056199553001,0.8497529558349142,0.826156421325733,0.8739019388526118
200,0.8366207903115941,0.8892584484945231,0.8030771805407529,0.8497529558349142,0.8388703466996489,0.889193334318368
500,0.8558917764704413,0.9036100389053746,0.8043937365064997,0.8498488040264031,0.851955832332248,0.9001220532628866
