length_bucket,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
30-80,587.0,0.6112010431425249,0.7552984339068904,0.6604306059026072,0.7908538512431171,0.8785741445358345,0.8204322099876709,0.6685036262046963,0.8260760886670866,0.6666666666666666,0.8666666666666667,0.7368421052631577,0.875,0.95,0.9,0.16000160408506356,0.10930329578639963,0.7989778534923339,0.5076660988074957,1.0,0.33049403747870526,26.0,84.0,100.0,0.15843270868824533
81-150,149.0,0.584765447301652,0.6960352186116986,0.6254618471722022,0.7273254736095355,0.8097574239630133,0.7560542532043741,0.6304223705934954,0.7607101296561131,0.625,0.7619047619047619,0.6666666666666667,0.7857142857142857,0.8787878787878788,0.8219178082191781,0.13059240603217195,0.08578431372549011,0.6912751677852349,0.31543624161073824,100.0,0.21476510067114093,44.0,85.20000000000002,100.0,0.10067114093959731
151-300,53.0,0.39904267215830636,0.5307046199050752,0.4411904785033191,0.4960949614051117,0.6143973338266042,0.5333723587559932,0.45063397354593143,0.5426055093966724,0.36363636363636365,0.5666666666666667,0.4406779661016949,0.5185185185185185,0.6363636363636364,0.5128205128205128,0.0921818802526742,0.058181075839542684,0.24528301886792453,0.018867924528301886,100.0,0.3018867924528302,42.0,95.4,99.0,0.05660377358490566
301-400,15.0,0.40337060701647015,0.6376186078492984,0.467548187492213,0.48907477615175343,0.6646098278852755,0.5382703251185624,0.49093348123252467,0.5557065964795737,0.3565217391304348,0.6470588235294118,0.40935672514619886,0.46987951807228917,0.6176470588235294,0.5402298850574714,0.07072213762634925,0.04039215686274511,0.2,0.0,100.0,0.2,51.0,87.0,92.0,0.0
