frac,top1_f1,top100_f1,delta_f1
0.0012437810945273632,0.0,0.0,0.0
0.0024875621890547263,0.0,0.0,0.0
0.0037313432835820895,0.0,0.0,0.0
0.004975124378109453,0.0,0.0,0.0
0.006218905472636816,0.0,0.0,0.0
0.007462686567164179,0.0,0.0,0.0
0.008706467661691543,0.0,0.0,0.0
0.009950248756218905,0.0,0.0,0.0
0.011194029850746268,0.0,0.0,0.0
0.012437810945273632,0.0,0.0,0.0
0.013681592039800995,0.0,0.05128205128205128,0.0
0.014925373134328358,0.0,0.06666666666666667,0.0
0.01616915422885572,0.0,0.08,0.0
0.017412935323383085,0.0,0.125,0.0
0.018656716417910446,0.0,0.15384615384615383,0.0
0.01990049751243781,0.0,0.16129032258064516,0.0
0.021144278606965175,0.0,0.16666666666666666,0.0
0.022388059701492536,0.0,0.16666666666666666,0.0
0.0236318407960199,0.0,0.1764705882352941,0.0
0.024875621890547265,0.0,0.17647058823529413,0.0
0.026119402985074626,0.0,0.1875,0.0
0.02736318407960199,0.0,0.19672131147540983,0.0
0.028606965174129355,0.0,0.19999999999999998,0.0
0.029850746268656716,0.0,0.22727272727272724,0.0
0.03109452736318408,0.0,0.24489795918367344,0.0
0.03233830845771144,0.0,0.24615384615384614,0.0
0.033582089552238806,0.0,0.25,0.0
0.03482587064676617,0.0,0.2564102564102564,0.0
0.036069651741293535,0.0,0.2608695652173913,0.0
0.03731343283582089,0.0,0.2711864406779661,0.0
0.03855721393034826,0.0,0.28571428571428564,0.0
0.03980099502487562,0.0,0.2857142857142857,0.0
0.041044776119402986,0.0,0.29126213592233013,0.0
0.04228855721393035,0.0,0.29729729729729726,0.0
0.043532338308457715,0.0,0.29940119760479045,0.0
0.04477611940298507,0.0,0.3,0.0
0.046019900497512436,0.0,0.30769230769230765,0.0
0.0472636815920398,0.05,0.30769230769230765,0.0
0.048507462686567165,0.052631578947368425,0.3076923076923077,0.0
0.04975124378109453,0.06060606060606061,0.3076923076923077,0.0
0.05099502487562189,0.0625,0.3095238095238095,0.0
0.05223880597014925,0.06896551724137931,0.3225806451612903,0.0
0.053482587064676616,0.08823529411764706,0.32432432432432434,0.0
0.05472636815920398,0.09523809523809523,0.3307086614173228,0.0
0.055970149253731345,0.09638554216867469,0.33333333333333326,0.0
0.05721393034825871,0.0975609756097561,0.3333333333333333,0.0
0.05845771144278607,0.12403100775193798,0.33333333333333337,0.0
0.05970149253731343,0.125,0.3448275862068965,0.0
0.060945273631840796,0.13157894736842107,0.34782608695652173,0.0
0.06218905472636816,0.13333333333333333,0.34782608695652173,0.0
0.06343283582089553,0.1509433962264151,0.35000000000000003,0.0
0.06467661691542288,0.15094339622641512,0.3508771929824561,0.0
0.06592039800995025,0.15555555555555556,0.35714285714285715,0.0
0.06716417910447761,0.16216216216216214,0.36000000000000004,0.0
0.06840796019900497,0.16438356164383564,0.36231884057971014,0.0
0.06965174129353234,0.16494845360824742,0.3636363636363636,0.0
0.0708955223880597,0.1702127659574468,0.36363636363636365,0.0
0.07213930348258707,0.17142857142857143,0.3636363636363637,0.0
0.07338308457711443,0.17142857142857143,0.39080459770114945,0.0
0.07462686567164178,0.17391304347826086,0.3913043478260869,0.0
0.07587064676616916,0.1818181818181818,0.3928571428571429,0.0
0.07711442786069651,0.1818181818181818,0.39506172839506176,0.0
0.07835820895522388,0.18181818181818185,0.39999999999999997,0.0
0.07960199004975124,0.18461538461538463,0.4,0.0
0.08084577114427861,0.18750000000000003,0.4,0.0
0.08208955223880597,0.1935483870967742,0.4,0.0
0.08333333333333333,0.19444444444444445,0.40935672514619886,0.0
0.0845771144278607,0.19607843137254902,0.4117647058823529,0.0
0.08582089552238806,0.19672131147540983,0.41379310344827586,0.0
0.08706467661691543,0.20512820512820512,0.4166666666666667,0.0
0.08830845771144279,0.2105263157894737,0.4166666666666667,0.0
0.08955223880597014,0.2105263157894737,0.4210526315789473,0.0
0.09079601990049752,0.2162162162162162,0.4210526315789473,0.0
0.09203980099502487,0.2222222222222222,0.4210526315789473,0.0
0.09328358208955224,0.22222222222222224,0.4347826086956522,0.0
0.0945273631840796,0.22727272727272727,0.4347826086956522,0.0
0.09577114427860696,0.2325581395348837,0.43749999999999994,0.0008128332018457751
0.09701492537313433,0.23529411764705882,0.43902439024390244,0.002962962962962945
0.09825870646766169,0.2424242424242424,0.4444444444444445,0.004158004158004269
0.09950248756218906,0.24390243902439024,0.45161290322580644,0.004761904761904634
0.10074626865671642,0.24390243902439024,0.45378151260504196,0.005724508050089283
0.10199004975124377,0.24539877300613497,0.45614035087719296,0.010954616588419452
0.10323383084577115,0.25,0.4566929133858268,0.01098901098901095
0.1044776119402985,0.25,0.4615384615384615,0.011034482758620692
0.10572139303482588,0.25,0.4615384615384615,0.011735330836454505
0.10696517412935323,0.25,0.4615384615384615,0.01279069767441865
0.10820895522388059,0.25,0.4660194174757281,0.013693270735524177
0.10945273631840796,0.25000000000000006,0.47058823529411764,0.015037593984962405
0.11069651741293532,0.2553191489361702,0.47058823529411764,0.015647226173541973
0.11194029850746269,0.2580645161290322,0.4742268041237113,0.01572327044025157
0.11318407960199005,0.25806451612903225,0.4788732394366197,0.015846994535519077
0.11442786069651742,0.2580645161290323,0.48000000000000004,0.016422947131608523
0.11567164179104478,0.2631578947368421,0.48148148148148145,0.016666666666666607
0.11691542288557213,0.26415094339622647,0.4888888888888889,0.016708437761069395
0.1181592039800995,0.26666666666666666,0.4893617021276596,0.017094017094017033
0.11940298507462686,0.26666666666666666,0.4931506849315069,0.01748807631160576
