rfam_id,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
RF03072,6.0,0.3295990559148454,0.3791669374313418,0.34762508319094,0.4719431491283221,0.511513092513446,0.48367679466391106,0.3484154612791386,0.4861494572267619,0.34523809523809523,0.367003367003367,0.3557312252964427,0.45408163265306123,0.41951219512195126,0.4283935242839353,0.1360517114729711,0.07422121007647325,0.16666666666666666,0.0,100.0,0.16666666666666666,54.5,84.0,91.0,0.16666666666666666
RF00017,6.0,0.45905054329424083,0.5335256924567034,0.4882387834692527,0.5702204228520018,0.5880306365108278,0.5759508089320295,0.48991404353227724,0.5757842378814545,0.5384615384615384,0.628125,0.5795584316711078,0.6410256410256411,0.7404761904761905,0.6899505138941759,0.08771202546277697,0.08976833976833981,0.5,0.0,100.0,0.16666666666666666,40.0,79.5,91.0,0.0
RF00028,6.0,0.5860877156942169,0.6579688981535768,0.619052643604184,0.6596698136584399,0.6801677777053974,0.668228016005962,0.6196653056071185,0.6683383813059316,0.6058712958867758,0.6615312791783381,0.631098482558491,0.6925,0.6646825396825398,0.6753919744884401,0.049175372401778085,0.037129996229260886,0.5,0.0,100.0,0.16666666666666666,23.0,70.5,80.0,0.0
RF00026,6.0,0.5690656379510869,0.5923687423687424,0.5642961876832844,0.7971560846560847,0.917857142857143,0.8477342405672359,0.5686209171370858,0.8514767748598886,0.5357142857142857,0.6214285714285714,0.563049853372434,0.8506944444444444,0.9285714285714286,0.8982758620689655,0.28343805288395146,0.2845960532278664,0.8333333333333334,0.5,57.0,0.0,34.5,86.5,89.0,0.5
RF00036,6.0,0.8028360528360529,0.936233907704496,0.8582594321352969,0.8674893946633077,0.9495672410378293,0.9045855417695808,0.8626893380367955,0.9058038927044127,0.7980769230769231,0.9386363636363637,0.8599439775910364,0.8653846153846154,0.9686363636363636,0.9173967459324155,0.04632610963428402,0.053863009825404706,1.0,0.5,100.0,0.3333333333333333,28.0,52.5,65.0,0.0
RF00061,5.0,0.41551383046639206,0.43597282347282346,0.42344884509730585,0.6404431010261258,0.6172498797498798,0.6248594525374458,0.4217183799373815,0.6254885838929817,0.35353535353535354,0.4861111111111111,0.40935672514619886,0.7096774193548387,0.625,0.6730769230769231,0.20141060744013983,0.1400966183574879,0.2,0.2,100.0,0.2,81.0,97.0,97.0,0.4
RF00442,5.0,0.5395755233643417,0.610110931157565,0.5689706761045935,0.7351086956521738,0.7771960825782704,0.7509021991462987,0.5694816872838693,0.7522250621672318,0.5,0.71875,0.588235294117647,0.8,0.8125,0.7868852459016393,0.18193152304170515,0.08234126984126977,0.6,0.2,100.0,0.0,36.0,81.0,81.0,0.2
RF00020,5.0,0.5944636814798105,0.9149621232485684,0.7097209728469098,0.6550959513028479,0.9149621232485684,0.75167843428713,0.7304026247503088,0.7670965263038495,0.6545454545454545,0.9565217391304348,0.782608695652174,0.6545454545454545,0.9565217391304348,0.782608695652174,0.04195746144022008,0.0461538461538461,0.6,0.2,100.0,0.6,8.0,24.6,33.0,0.0
RF00059,5.0,0.4526176552492342,0.5081864988558353,0.4753811906026694,0.7896376811594201,0.8022134387351778,0.792938967007198,0.4739573843294559,0.7929973293606121,0.5238095238095238,0.5,0.5116279069767442,0.7916666666666666,0.9545454545454546,0.8837209302325582,0.31755777640452865,0.3447004608294932,0.6,0.4,100.0,0.2,28.0,94.8,98.0,0.6
RF01750,5.0,0.8663423050379573,0.9703703703703704,0.9134893034507925,0.9409551656920078,0.9703703703703704,0.9550234444971286,0.9151736601467075,0.9549828174501902,0.85,0.9629629629629629,0.9047619047619047,0.9473684210526315,0.9629629629629629,0.9629629629629629,0.04153414104633617,0.017508417508417473,1.0,0.8,100.0,0.6,8.0,16.0,16.0,0.0
RF02925,4.0,0.3620193682104059,0.46297992844460467,0.40291000546560085,0.4565150046981442,0.5494346322773573,0.4964554718653079,0.40601122668581324,0.49838134659645494,0.3020833333333333,0.40394088669950734,0.34226190476190477,0.45359848484848486,0.5433137089991589,0.49902419984387203,0.09354546639970704,0.030328637717446816,0.0,0.0,100.0,0.5,22.0,64.80000000000001,78.0,0.25
RF00379,4.0,0.39617208672086723,0.46015697945845,0.4248856209150327,0.5148500924362993,0.5588381185807657,0.5329926238145416,0.42356071375835025,0.5326389634091266,0.2923441734417344,0.35434173669467783,0.31137254901960787,0.4372236958443855,0.5378151260504201,0.48136986301369866,0.10810700289950893,0.10781548516842636,0.25,0.25,100.0,0.5,44.5,81.0,81.0,0.0
