pk_bucket,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
0,441.0,0.5735585562879794,0.7485772513988789,0.6315537603123731,0.7380015323021911,0.8703844972120588,0.7838527941337066,0.6427903530422344,0.7923498841472333,0.631578947368421,0.875,0.7058823529411765,0.8333333333333334,1.0,0.8888888888888888,0.15229903382133342,0.1071428571428571,0.7256235827664399,0.4603174603174603,9.0,0.272108843537415,34.0,85.0,100.0,0.14285714285714285
"(0,0.2)",124.0,0.591644090195106,0.6944546769847518,0.6286403649519791,0.7635103873543915,0.8153844152765009,0.7809565399348867,0.6332513625613769,0.7839392472881407,0.6120401337792643,0.7453703703703703,0.6516683518705764,0.8,0.8571428571428571,0.8237179487179487,0.15231617498290775,0.10754483611626464,0.7258064516129032,0.29838709677419356,100.0,0.20967741935483872,42.5,87.7,99.0,0.13709677419354838
"[0.2,0.4)",180.0,0.6484328839494419,0.7400384874103392,0.683678697934718,0.8140391810735607,0.8344762586112129,0.8187157598276146,0.6866181715336228,0.820380808391798,0.6939799331103679,0.8235294117647058,0.7441860465116279,0.8973684210526316,0.9215384615384616,0.9,0.13503706189289663,0.09432965084560829,0.8055555555555556,0.5055555555555555,1.0,0.4111111111111111,15.5,82.0,100.0,0.13333333333333333
"[0.4,1]",59.0,0.5098944929517609,0.5986301135986496,0.5378664387541784,0.6706922792173898,0.7416292849032315,0.6898652702915155,0.5424945608766367,0.6956415801419497,0.5555555555555556,0.631578947368421,0.5294117647058825,0.75,0.7857142857142857,0.7428571428571428,0.15199883153733718,0.12006172839506174,0.559322033898305,0.2542372881355932,1.0,0.423728813559322,19.0,73.00000000000003,93.0,0.11864406779661017
