feature,corr_top1_f1,corr_top100_f1
truth_len,-0.20294711865800732,-0.3487713152273347
ref_pairs,0.050692181678758094,-0.04117857198547243
ref_pair_density,0.4751621362861535,0.5338044426625704
ref_pk_pairs,-0.04257438670485653,-0.1040649765637338
pk_frac,-0.02739057827655718,-0.04754690622781783
