truth_len,ref_pairs,ref_pk_pairs,ref_pair_density,top1_f1,top100_f1,delta_f1
66,21,8,0.3181818181818182,0.8372093023255814,0.8500000000000001,0.01279069767441865
298,86,7,0.28859060402684567,0.5197740112994349,0.5443786982248521,0.024604686925417174
72,10,0,0.1388888888888889,0.5882352941176471,0.7407407407407407,0.15250544662309362
72,17,5,0.2361111111111111,0.7804878048780487,0.8888888888888888,0.10840108401084014
31,9,0,0.2903225806451613,0.0,0.0,0.0
78,21,4,0.2692307692307692,0.43478260869565216,0.6976744186046512,0.262891809908999
75,16,0,0.21333333333333335,0.7804878048780487,0.8648648648648648,0.0843770599868161
62,11,1,0.1774193548387097,0.6060606060606061,0.7142857142857143,0.10822510822510822
74,14,0,0.1891891891891892,0.5945945945945946,0.6285714285714286,0.03397683397683393
65,13,0,0.2,0.888888888888889,0.9230769230769231,0.03418803418803418
71,17,4,0.23943661971830985,0.7999999999999999,0.8421052631578947,0.04210526315789476
34,12,0,0.35294117647058826,1.0,1.0,0.0
57,14,0,0.24561403508771928,0.9032258064516129,0.9655172413793104,0.06229143492769751
36,12,0,0.3333333333333333,0.8571428571428571,1.0,0.1428571428571429
135,7,3,0.05185185185185185,0.1702127659574468,0.21739130434782608,0.04717853839037928
76,17,0,0.2236842105263158,0.7906976744186047,0.8947368421052632,0.10403916768665844
62,11,0,0.1774193548387097,0.3225806451612903,0.45161290322580644,0.12903225806451613
46,21,0,0.45652173913043476,1.0,1.0,0.0
71,21,0,0.29577464788732394,0.8260869565217391,0.9545454545454545,0.12845849802371534
71,21,0,0.29577464788732394,0.8260869565217391,0.9545454545454545,0.12845849802371534
33,7,0,0.21212121212121213,0.8235294117647058,0.9333333333333333,0.1098039215686275
68,22,7,0.3235294117647059,0.9523809523809523,0.9767441860465117,0.02436323366555937
52,11,5,0.21153846153846154,0.8333333333333333,0.8333333333333333,0.0
159,43,0,0.27044025157232704,0.7708333333333334,0.8131868131868132,0.042353479853479814
48,15,0,0.3125,0.9375,0.967741935483871,0.030241935483870996
35,6,3,0.17142857142857143,0.8571428571428571,0.8571428571428571,0.0
102,32,0,0.3137254901960784,0.08823529411764706,0.9411764705882353,0.8529411764705882
72,16,0,0.2222222222222222,0.8421052631578948,0.8571428571428572,0.015037593984962405
76,21,0,0.27631578947368424,0.7111111111111111,0.888888888888889,0.1777777777777778
38,9,0,0.23684210526315788,0.6666666666666666,0.8888888888888888,0.2222222222222222
84,13,0,0.15476190476190477,0.0975609756097561,0.25,0.1524390243902439
71,18,0,0.2535211267605634,0.9,0.918918918918919,0.018918918918918948
77,14,0,0.18181818181818182,0.7368421052631579,0.8235294117647058,0.08668730650154799
88,33,7,0.375,0.9253731343283583,0.96875,0.04337686567164167
74,19,0,0.25675675675675674,0.8636363636363636,0.9500000000000001,0.08636363636363642
81,29,8,0.35802469135802467,0.9180327868852458,0.9655172413793104,0.047484454494064576
78,13,0,0.16666666666666666,0.47368421052631576,0.7647058823529412,0.29102167182662547
90,20,0,0.2222222222222222,0.6938775510204082,0.8444444444444444,0.15056689342403629
161,53,23,0.32919254658385094,0.6666666666666667,0.6666666666666667,0.0
77,20,0,0.2597402597402597,0.358974358974359,0.6341463414634146,0.27517198248905567
215,61,7,0.2837209302325581,0.7384615384615385,0.7441860465116278,0.005724508050089283
173,59,21,0.34104046242774566,0.6837606837606838,0.8034188034188032,0.11965811965811946
52,15,0,0.28846153846153844,0.6206896551724138,1.0,0.3793103448275862
64,16,0,0.25,0.9696969696969697,0.9696969696969697,0.0
69,18,0,0.2608695652173913,0.7391304347826088,0.8372093023255813,0.09807886754297257
107,25,5,0.2336448598130841,0.5555555555555556,0.6122448979591836,0.056689342403627996
69,15,5,0.21739130434782608,0.7000000000000001,0.8235294117647058,0.12352941176470578
36,9,0,0.25,0.7368421052631577,0.823529411764706,0.08668730650154821
136,34,11,0.25,0.7088607594936709,0.7368421052631577,0.027981345769486854
46,12,0,0.2608695652173913,0.923076923076923,1.0,0.07692307692307698
61,12,2,0.19672131147540983,0.5454545454545454,0.6896551724137931,0.14420062695924774
128,32,9,0.25,0.7777777777777777,0.7887323943661971,0.010954616588419452
69,22,9,0.3188405797101449,0.8510638297872342,0.8837209302325582,0.032657100445323994
