length_bucket,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
30-80,587.0,0.616409613888714,0.759278421400866,0.665021942428987,0.8044225478253384,0.8909284800794466,0.8335464378022747,0.6731084577710464,0.8391988510733757,0.6666666666666666,0.875,0.7368421052631579,0.875,0.95,0.9,0.16852449537328767,0.11111111111111105,0.817717206132879,0.5025553662691652,10.0,0.33560477001703576,25.0,85.0,100.0,0.16524701873935263
81-150,149.0,0.5862337736963128,0.6978799753658259,0.6271339720435408,0.7296020850748626,0.8106338703164142,0.7578527234147237,0.632102896000033,0.7624499790059784,0.6285714285714286,0.7619047619047619,0.6774193548387096,0.7674418604651163,0.8787878787878788,0.8214285714285715,0.1307187513711827,0.08308895405669592,0.697986577181208,0.3221476510067114,100.0,0.20134228187919462,53.0,96.0,100.0,0.10067114093959731
151-300,53.0,0.3990217774467579,0.5307046199050752,0.44117233626819574,0.4981305236240859,0.6203275446759526,0.535993694432251,0.45061887139705764,0.5458081282067803,0.36363636363636365,0.5666666666666667,0.4406779661016949,0.5185185185185185,0.6363636363636364,0.5128205128205128,0.09482135816405532,0.05932203389830509,0.24528301886792453,0.018867924528301886,100.0,0.2641509433962264,42.0,94.60000000000001,99.0,0.03773584905660377
301-400,15.0,0.40337060701647015,0.6376186078492984,0.467548187492213,0.48607545489317877,0.668895971171419,0.5368401974644876,0.49093348123252467,0.5552433372697511,0.3565217391304348,0.6470588235294118,0.40935672514619886,0.43617021276595747,0.625,0.5402298850574714,0.0692920099722746,0.04039215686274511,0.2,0.0,100.0,0.13333333333333333,58.0,88.8,98.0,0.0
