frac,prev_top1,prev_top100,improved_top1,improved_top100
0.0012437810945273632,-0.0222957450772591,-0.0092334358387192,-0.0222957450772591,-0.0092334358387192
0.0024875621890547263,-0.0171919978344718,-0.007487910410951,-0.0171919978344718,-0.0056429890174492
0.0037313432835820895,-0.0171895075182102,-0.0060739448386406,-0.0171895075182102,-0.003426320027127
0.004975124378109453,-0.0160623141550808,-0.0056429890174492,-0.0160623141550808,0.0453537704995426
0.006218905472636816,-0.0146468731287095,-0.004735977638657,-0.0146468731287095,0.0727436310215678
0.007462686567164179,-0.0127608749053672,-0.0038566369231761,-0.0127608749053672,0.0902176196786563
0.008706467661691543,-0.0122969349477922,-0.0036348949919224,-0.0122969349477922,0.1541003847410347
0.009950248756218905,-0.011624651667861,-0.0033349085232547,-0.011624651667861,0.1734040563977178
0.011194029850746268,-0.0107382213693511,0.0,-0.0107382213693511,0.1826582867783985
0.012437810945273632,-0.0102347902203642,0.0,-0.0102347902203642,0.1835082168987031
0.013681592039800995,-0.0101090399269254,0.0453537704995426,-0.0101090399269254,0.1996395786372834
0.014925373134328358,-0.0099593121788762,0.0708598967256707,-0.0099593121788762,0.2039556984020413
0.01616915422885572,-0.0099543252605961,0.0902176196786563,-0.0099543252605961,0.2150256960184118
0.017412935323383085,-0.0098019197469488,0.1293021606867284,-0.0098019197469488,0.2208101490649863
0.018656716417910446,-0.0092267144230924,0.1541003847410347,-0.0092267144230924,0.241544318897928
0.01990049751243781,-0.0081650193382036,0.1589104142351696,-0.0081650193382036,0.2439381961754928
0.021144278606965175,-0.0080663322751754,0.1734040563977178,-0.0080663322751754,0.262571416810321
0.022388059701492536,-0.0080039196788471,0.1826582867783985,-0.0080039196788471,0.2630154179984639
0.0236318407960199,-0.0080039196788471,0.1835082168987031,-0.0080039196788471,0.2648135704375243
0.024875621890547265,-0.007900732949987,0.2039556984020413,-0.007900732949987,0.2674802805143105
0.026119402985074626,-0.006833293845415,0.2122156308412334,-0.006833293845415,0.2736911182779901
0.02736318407960199,-0.0066783239147358,0.2208101490649863,-0.0066783239147358,0.2813884757659988
0.028606965174129355,-0.0065716944648136,0.2374218622559504,-0.0065716944648136,0.283722744255123
0.029850746268656716,-0.0064844087248855,0.2439381961754928,-0.0057705220253232,0.3015543209012
0.03109452736318408,-0.0054666033516185,0.2595295801264117,-0.0054666033516185,0.3030203795351369
0.03233830845771144,-0.0054092909306739,0.2630154179984639,-0.0054092909306739,0.3049237394427305
0.033582089552238806,-0.0052680970445406,0.2648135704375243,-0.0052680970445406,0.3052552967024523
0.03482587064676617,-0.0050694789675349,0.2714851235331892,-0.0050694789675349,0.3106487699265639
0.036069651741293535,-0.0050037755138801,0.2736911182779901,-0.0050037755138801,0.3116662626928138
0.03731343283582089,-0.0049028079721764,0.2813884757659988,-0.0049028079721764,0.3205029827429193
0.03855721393034826,-0.0048793609564211,0.283722744255123,-0.0048793609564211,0.3247812317897557
0.03980099502487562,-0.004866661507439,0.3030203795351369,-0.004866661507439,0.3307408114202201
0.041044776119402986,-0.0047259406684203,0.3106487699265639,-0.0047259406684203,0.3414808068800763
0.04228855721393035,-0.0022841754777542,0.3116662626928138,-0.0040321921195738,0.3418076800907344
0.043532338308457715,-0.0018645397368427,0.3160573727600181,-0.0022841754777542,0.3435509811383669
0.04477611940298507,0.0,0.3205029827429193,-0.0018645397368427,0.3440934241997707
0.046019900497512436,0.0,0.3247812317897557,0.0431756032140518,0.3493038273677641
0.0472636815920398,0.0431756032140518,0.326775956284153,0.0483892209966556,0.3529328077480536
0.048507462686567165,0.0483892209966556,0.3307408114202201,0.0625225740066932,0.3553292178552031
0.04975124378109453,0.0629850972315332,0.3385802991136087,0.0629850972315332,0.3615390382257812
0.05099502487562189,0.0633229878970043,0.3418076800907344,0.081317663944528,0.3634579131991731
0.05223880597014925,0.081317663944528,0.3419869526375925,0.0823426393245039,0.3634934271160279
0.053482587064676616,0.0823426393245039,0.3435509811383669,0.0937728008098056,0.36975649771607
0.05472636815920398,0.0934930779083579,0.3440934241997707,0.0999434774682882,0.3697873499899913
0.055970149253731345,0.0937728008098056,0.3489773483239748,0.1215350739298521,0.3728869109045091
0.05721393034825871,0.0999434774682882,0.3493038273677641,0.1254612020477416,0.3737628405575217
0.05845771144278607,0.1215350739298521,0.3529328077480536,0.135155662021,0.3889735132045356
0.05970149253731343,0.1254612020477416,0.3551200976128605,0.1624561230845274,0.3898210193753062
0.060945273631840796,0.135155662021,0.3615390382257812,0.1628142982495905,0.3915826792894715
0.06218905472636816,0.1624561230845274,0.3619334405109575,0.1648082743029781,0.3941063216698526
0.06343283582089553,0.1628142982495905,0.3629614179086403,0.1650681401702269,0.3966417767354982
0.06467661691542288,0.1648082743029781,0.3634579131991731,0.1706227004903247,0.3977025291346303
0.06592039800995025,0.1650681401702269,0.3634934271160279,0.1723452022532734,0.4134772285491012
0.06716417910447761,0.1706227004903247,0.36975649771607,0.173837808663029,0.4207942661882026
0.06840796019900497,0.1723452022532734,0.3697873499899913,0.1779519075466618,0.4243638983133088
0.06965174129353234,0.173837808663029,0.3728869109045091,0.1793615235592639,0.4252218572592866
0.0708955223880597,0.1779519075466618,0.3889735132045356,0.1800298767217235,0.4343981570126107
0.07213930348258707,0.1793615235592639,0.3898210193753062,0.1828112735311136,0.4507812167151273
0.07338308457711443,0.1800298767217235,0.3915826792894715,0.1836816331859372,0.4527430050261909
0.07462686567164178,0.1828112735311136,0.3977025291346303,0.1900730244866512,0.4570107664486824
