pk_bucket,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
0,441.0,0.5730879105232244,0.7484133676818798,0.6312483141732445,0.7497962038554414,0.8837186392478334,0.7962811163034151,0.6424831773595198,0.8049353467884591,0.631578947368421,0.875,0.7058823529411765,0.8333333333333334,1.0,0.8888888888888888,0.1650328021301707,0.11111111111111105,0.7414965986394558,0.4489795918367347,10.0,0.2675736961451247,35.0,87.0,100.0,0.15192743764172337
"(0,0.2)",124.0,0.597778283577631,0.6982432879210706,0.6337187893906494,0.7747076564191694,0.8212723654386447,0.7897366433734542,0.6383053717831607,0.7926773160122568,0.6153846153846154,0.7559523809523809,0.6594202898550725,0.8073549257759784,0.8603896103896104,0.8323556653288053,0.15601785398280477,0.10569870198520909,0.75,0.31451612903225806,100.0,0.21774193548387097,48.0,92.4,99.0,0.1532258064516129
"[0.2,0.4)",180.0,0.6584156521215666,0.7488290054498312,0.6931444328284346,0.8203891364567947,0.8378641906812646,0.8237311349974922,0.6960735435620294,0.8253196378218809,0.6956521739130435,0.8268365817091454,0.7475490196078431,0.9,0.9183333333333333,0.9055059523809523,0.13058670216905766,0.09369720356938005,0.8111111111111111,0.5166666666666667,85.0,0.4166666666666667,15.5,84.0,100.0,0.12222222222222222
"[0.4,1]",59.0,0.5255745060525552,0.609330336163279,0.5504841412023894,0.6814385757059775,0.7507968876926006,0.7002231047108922,0.5553663298358581,0.7058515826915094,0.56,0.6363636363636364,0.5714285714285715,0.7692307692307693,0.7692307692307693,0.7936507936507937,0.14973896350850294,0.12450980392156863,0.576271186440678,0.23728813559322035,98.0,0.3898305084745763,18.0,73.80000000000003,99.0,0.1016949152542373
