f1 cdf
0.829268 0.396766
0.829268 0.398010
0.833333 0.399254
0.833333 0.400498
0.833333 0.401741
0.833333 0.402985
0.833333 0.404229
0.833333 0.405473
0.833333 0.406716
0.833333 0.407960
0.837209 0.409204
0.837607 0.410448
0.838710 0.411692
0.842105 0.412935
0.842105 0.414179
0.842105 0.415423
0.842105 0.416667
0.842105 0.417910
0.842105 0.419154
0.842105 0.420398
0.842105 0.421642
0.842105 0.422886
0.844444 0.424129
0.845070 0.425373
0.845361 0.426617
0.846154 0.427861
0.846154 0.429104
0.848485 0.430348
0.848485 0.431592
0.850000 0.432836
0.850000 0.434080
0.850000 0.435323
0.850000 0.436567
0.850000 0.437811
0.850000 0.439055
0.850000 0.440299
0.851064 0.441542
0.851064 0.442786
0.851852 0.444030
0.852459 0.445274
0.853333 0.446517
0.854701 0.447761
0.857143 0.449005
0.857143 0.450249
0.857143 0.451493
0.857143 0.452736
0.857143 0.453980
0.857143 0.455224
0.857143 0.456468
0.857143 0.457711
0.857143 0.458955
0.857143 0.460199
0.857143 0.461443
0.857143 0.462687
0.857143 0.463930
0.857143 0.465174
0.857143 0.466418
0.857143 0.467662
0.860215 0.468905
0.862069 0.470149
0.862745 0.471393
0.863636 0.472637
0.864865 0.473881
0.864865 0.475124
0.864865 0.476368
0.864865 0.477612
0.864865 0.478856
0.864865 0.480100
0.864865 0.481343
0.866667 0.482587
0.866667 0.483831
0.866667 0.485075
0.867925 0.486318
0.868687 0.487562
0.869565 0.488806
0.869565 0.490050
0.870588 0.491294
0.870968 0.492537
0.871795 0.493781
0.871795 0.495025
0.871795 0.496269
0.871795 0.497512
0.871795 0.498756
0.871795 0.500000
0.871795 0.501244
0.871795 0.502488
0.875000 0.503731
0.875000 0.504975
0.875000 0.506219
0.875000 0.507463
0.875000 0.508706
0.875000 0.509950
0.875000 0.511194
0.878049 0.512438
0.878049 0.513682
0.878049 0.514925
0.878049 0.516169
0.878049 0.517413
0.878049 0.518657
0.878049 0.519900
0.878049 0.521144
0.878049 0.522388
0.880000 0.523632
0.881356 0.524876
0.882353 0.526119
0.882353 0.527363
0.882883 0.528607
0.883721 0.529851
0.883721 0.531095
0.884615 0.532338
0.885714 0.533582
0.888889 0.534826
0.888889 0.536070
0.888889 0.537313
0.888889 0.538557
0.888889 0.539801
0.888889 0.541045
0.888889 0.542289
0.888889 0.543532
0.888889 0.544776
0.888889 0.546020
0.888889 0.547264
0.888889 0.548507
0.888889 0.549751
0.888889 0.550995
0.888889 0.552239
0.888889 0.553483
0.888889 0.554726
0.888889 0.555970
0.888889 0.557214
0.888889 0.558458
0.888889 0.559701
0.888889 0.560945
0.888889 0.562189
0.888889 0.563433
0.888889 0.564677
0.892857 0.565920
0.892857 0.567164
0.892857 0.568408
0.893617 0.569652
0.894737 0.570896
0.894737 0.572139
0.894737 0.573383
0.894737 0.574627
0.894737 0.575871
0.895522 0.577114
0.896552 0.578358
0.900000 0.579602
0.900000 0.580846
0.900000 0.582090
0.900000 0.583333
0.900000 0.584577
0.900000 0.585821
0.900000 0.587065
0.900000 0.588308
0.904762 0.589552
0.904762 0.590796
0.904762 0.592040
0.904762 0.593284
0.904762 0.594527
0.904762 0.595771
0.906250 0.597015
0.909091 0.598259
0.909091 0.599502
0.909091 0.600746
0.909091 0.601990
0.909091 0.603234
0.909091 0.604478
0.909091 0.605721
0.909091 0.606965
0.909091 0.608209
0.912281 0.609453
0.913043 0.610697
0.913043 0.611940
0.913043 0.613184
0.913043 0.614428
0.913043 0.615672
0.913043 0.616915
0.914286 0.618159
0.914286 0.619403
0.914286 0.620647
0.914286 0.621891
0.914286 0.623134
0.915254 0.624378
0.916667 0.625622
0.916667 0.626866
0.916667 0.628109
0.916667 0.629353
0.916667 0.630597
0.918919 0.631841
0.918919 0.633085
0.918919 0.634328
0.918919 0.635572
0.918919 0.636816
0.918919 0.638060
0.918919 0.639303
0.923077 0.640547
0.923077 0.641791
0.923077 0.643035
0.923077 0.644279
0.923077 0.645522
0.923077 0.646766
0.923077 0.648010
0.923077 0.649254
0.923077 0.650498
0.923077 0.651741
0.923077 0.652985
0.923077 0.654229
0.923077 0.655473
0.923077 0.656716
0.923077 0.657960
0.925926 0.659204
0.926829 0.660448
0.926829 0.661692
0.926829 0.662935
0.926829 0.664179
0.926829 0.665423
0.926829 0.666667
0.926829 0.667910
0.926829 0.669154
0.926829 0.670398
0.926829 0.671642
0.926829 0.672886
0.926829 0.674129
0.928571 0.675373
0.928571 0.676617
0.928571 0.677861
0.928571 0.679104
0.928571 0.680348
0.930233 0.681592
0.930233 0.682836
0.930233 0.684080
0.930233 0.685323
0.930233 0.686567
0.930233 0.687811
0.930233 0.689055
0.931034 0.690299
0.933333 0.691542
0.933333 0.692786
0.933333 0.694030
0.933333 0.695274
0.933333 0.696517
0.933333 0.697761
0.933333 0.699005
0.933333 0.700249
0.933333 0.701493
0.935484 0.702736
0.935484 0.703980
0.936170 0.705224
0.936170 0.706468
0.936170 0.707711
0.936170 0.708955
0.937500 0.710199
0.937500 0.711443
0.937500 0.712687
0.937500 0.713930
0.937500 0.715174
0.941176 0.716418
0.941176 0.717662
0.941176 0.718905
0.941176 0.720149
0.941176 0.721393
0.941176 0.722637
0.941176 0.723881
0.941176 0.725124
0.941176 0.726368
0.941176 0.727612
0.941176 0.728856
0.941176 0.730100
0.941176 0.731343
0.941176 0.732587
0.943396 0.733831
0.943396 0.735075
0.944444 0.736318
0.944444 0.737562
0.947368 0.738806
0.947368 0.740050
0.947368 0.741294
0.947368 0.742537
0.947368 0.743781
0.947368 0.745025
0.947368 0.746269
0.947368 0.747512
0.947368 0.748756
0.947368 0.750000
0.947368 0.751244
0.947368 0.752488
0.947368 0.753731
0.947368 0.754975
0.947368 0.756219
0.950000 0.757463
0.950000 0.758706
0.950000 0.759950
0.950000 0.761194
0.950000 0.762438
0.950000 0.763682
0.950000 0.764925
0.950000 0.766169
0.950000 0.767413
0.950000 0.768657
0.950000 0.769900
0.950000 0.771144
0.950000 0.772388
0.950000 0.773632
0.950000 0.774876
0.950000 0.776119
0.950000 0.777363
0.952381 0.778607
0.952381 0.779851
0.952381 0.781095
0.952381 0.782338
0.952381 0.783582
0.952381 0.784826
0.952381 0.786070
0.952381 0.787313
0.952381 0.788557
0.952381 0.789801
0.952381 0.791045
0.952381 0.792289
0.952381 0.793532
0.952381 0.794776
0.952381 0.796020
0.952381 0.797264
0.954545 0.798507
0.954545 0.799751
0.954545 0.800995
0.956522 0.802239
0.956522 0.803483
0.956522 0.804726
0.956522 0.805970
0.956522 0.807214
0.956522 0.808458
0.958333 0.809701
0.958333 0.810945
0.960000 0.812189
0.960000 0.813433
0.960000 0.814677
0.960000 0.815920
0.962025 0.817164
0.962963 0.818408
0.962963 0.819652
0.965517 0.820896
0.965517 0.822139
0.965517 0.823383
0.965517 0.824627
0.965517 0.825871
0.967742 0.827114
0.967742 0.828358
0.968421 0.829602
0.969697 0.830846
0.969697 0.832090
0.971429 0.833333
0.972973 0.834577
0.972973 0.835821
0.972973 0.837065
0.974359 0.838308
0.974359 0.839552
0.974359 0.840796
0.974359 0.842040
0.974359 0.843284
0.974359 0.844527
0.974359 0.845771
0.974359 0.847015
0.974359 0.848259
0.974359 0.849502
0.974359 0.850746
0.975610 0.851990
0.975610 0.853234
0.975610 0.854478
0.975610 0.855721
0.975610 0.856965
0.975610 0.858209
0.975610 0.859453
0.975610 0.860697
0.975610 0.861940
0.975610 0.863184
0.975610 0.864428
0.975610 0.865672
0.975610 0.866915
0.975610 0.868159
0.975610 0.869403
0.975610 0.870647
0.975610 0.871891
0.975610 0.873134
0.975610 0.874378
0.975610 0.875622
0.975610 0.876866
0.975610 0.878109
0.975610 0.879353
0.975610 0.880597
0.976744 0.881841
0.976744 0.883085
0.976744 0.884328
0.976744 0.885572
0.976744 0.886816
0.976744 0.888060
0.976744 0.889303
0.976744 0.890547
0.976744 0.891791
0.976744 0.893035
0.976744 0.894279
0.977273 0.895522
0.977778 0.896766
0.977778 0.898010
0.978723 0.899254
0.978723 0.900498
0.979592 0.901741
0.979592 0.902985
0.979592 0.904229
0.979592 0.905473
0.980392 0.906716
0.981132 0.907960
0.981818 0.909204
0.982456 0.910448
0.984615 0.911692
0.985075 0.912935
0.985507 0.914179
0.985507 0.915423
0.985507 0.916667
0.985915 0.917910
0.988764 0.919154
1.000000 0.920398
1.000000 0.921642
1.000000 0.922886
1.000000 0.924129
1.000000 0.925373
1.000000 0.926617
1.000000 0.927861
1.000000 0.929104
1.000000 0.930348
1.000000 0.931592
1.000000 0.932836
1.000000 0.934080
1.000000 0.935323
1.000000 0.936567
1.000000 0.937811
1.000000 0.939055
1.000000 0.940299
1.000000 0.941542
1.000000 0.942786
1.000000 0.944030
1.000000 0.945274
1.000000 0.946517
1.000000 0.947761
1.000000 0.949005
1.000000 0.950249
1.000000 0.951493
1.000000 0.952736
1.000000 0.953980
1.000000 0.955224
1.000000 0.956468
1.000000 0.957711
1.000000 0.958955
1.000000 0.960199
1.000000 0.961443
1.000000 0.962687
1.000000 0.963930
1.000000 0.965174
1.000000 0.966418
1.000000 0.967662
1.000000 0.968905
1.000000 0.970149
1.000000 0.971393
1.000000 0.972637
1.000000 0.973881
1.000000 0.975124
1.000000 0.976368
1.000000 0.977612
1.000000 0.978856
1.000000 0.980100
1.000000 0.981343
1.000000 0.982587
1.000000 0.983831
1.000000 0.985075
1.000000 0.986318
1.000000 0.987562
1.000000 0.988806
1.000000 0.990050
1.000000 0.991294
1.000000 0.992537
1.000000 0.993781
1.000000 0.995025
1.000000 0.996269
1.000000 0.997512
1.000000 0.998756
1.000000 1.000000
